0.000000	1.700000	0.000000
1.000000	1.699986	-0.000028	0.000006
2.000000	1.699945	-0.000055	0.000006
3.000000	1.699876	-0.000083	0.000006
4.000000	1.699780	-0.000110	0.000006
5.000000	1.699656	-0.000138	0.000006
6.000000	1.699504	-0.000165	0.000006
7.000000	1.699325	-0.000193	0.000006
8.000000	1.699119	-0.000220	0.000006
9.000000	1.698885	-0.000248	0.000006
10.000000	1.698623	-0.000275	0.000006
11.000000	1.698335	-0.000303	0.000006
12.000000	1.698018	-0.000330	0.000006
13.000000	1.697675	-0.000357	0.000006
14.000000	1.697304	-0.000385	0.000006
15.000000	1.696905	-0.000412	0.000006
16.000000	1.696480	-0.000439	0.000006
17.000000	1.696027	-0.000466	0.000006
18.000000	1.695547	-0.000494	0.000006
19.000000	1.695040	-0.000521	0.000006
20.000000	1.694505	-0.000548	0.000006
21.000000	1.693944	-0.000575	0.000006
22.000000	1.693356	-0.000602	0.000006
23.000000	1.692740	-0.000629	0.000006
24.000000	1.692098	-0.000656	0.000006
25.000000	1.691429	-0.000683	0.000006
26.000000	1.690733	-0.000709	0.000006
27.000000	1.690011	-0.000736	0.000006
28.000000	1.689261	-0.000763	0.000006
29.000000	1.688485	-0.000789	0.000006
30.000000	1.687683	-0.000816	0.000006
31.000000	1.686854	-0.000842	0.000006
32.000000	1.685999	-0.000868	0.000006
33.000000	1.685117	-0.000895	0.000006
34.000000	1.684210	-0.000921	0.000006
35.000000	1.683276	-0.000947	0.000006
36.000000	1.682316	-0.000973	0.000006
37.000000	1.681330	-0.000999	0.000006
38.000000	1.680318	-0.001025	0.000006
39.000000	1.679281	-0.001050	0.000006
40.000000	1.678218	-0.001076	0.000006
41.000000	1.677129	-0.001101	0.000006
42.000000	1.676015	-0.001127	0.000006
43.000000	1.674875	-0.001152	0.000006
44.000000	1.673710	-0.001177	0.000006
45.000000	1.672520	-0.001202	0.000006
46.000000	1.671306	-0.001227	0.000006
47.000000	1.670066	-0.001252	0.000006
48.000000	1.668801	-0.001277	0.000006
49.000000	1.667512	-0.001302	0.000006
50.000000	1.666198	-0.001326	0.000006
51.000000	1.664860	-0.001350	0.000006
52.000000	1.663498	-0.001374	0.000006
53.000000	1.662111	-0.001399	0.000006
54.000000	1.660701	-0.001422	0.000006
55.000000	1.659266	-0.001446	0.000006
56.000000	1.657808	-0.001470	0.000006
57.000000	1.656327	-0.001493	0.000006
58.000000	1.654822	-0.001517	0.000006
59.000000	1.653294	-0.001540	0.000006
60.000000	1.651743	-0.001563	0.000006
61.000000	1.650169	-0.001585	0.000006
62.000000	1.648572	-0.001608	0.000007
63.000000	1.646953	-0.001631	0.000007
64.000000	1.645311	-0.001653	0.000007
65.000000	1.643647	-0.001675	0.000007
66.000000	1.641961	-0.001697	0.000007
67.000000	1.640253	-0.001719	0.000007
68.000000	1.638524	-0.001740	0.000007
69.000000	1.636773	-0.001761	0.000007
70.000000	1.635001	-0.001783	0.000007
71.000000	1.633208	-0.001804	0.000007
72.000000	1.631394	-0.001824	0.000007
73.000000	1.629559	-0.001845	0.000007
74.000000	1.627704	-0.001865	0.000007
75.000000	1.625829	-0.001885	0.000007
76.000000	1.623934	-0.001905	0.000007
77.000000	1.622019	-0.001925	0.000007
78.000000	1.620084	-0.001944	0.000007
79.000000	1.618131	-0.001963	0.000007
80.000000	1.616158	-0.001982	0.000007
81.000000	1.614166	-0.002001	0.000007
82.000000	1.612156	-0.002019	0.000007
83.000000	1.610127	-0.002038	0.000007
84.000000	1.608081	-0.002056	0.000007
85.000000	1.606016	-0.002073	0.000007
86.000000	1.603935	-0.002091	0.000007
87.000000	1.601835	-0.002108	0.000008
88.000000	1.599719	-0.002125	0.000008
89.000000	1.597586	-0.002141	0.000008
90.000000	1.595437	-0.002157	0.000008
91.000000	1.593271	-0.002173	0.000008
92.000000	1.591090	-0.002189	0.000008
93.000000	1.588893	-0.002205	0.000008
94.000000	1.586681	-0.002220	0.000008
95.000000	1.584454	-0.002234	0.000008
96.000000	1.582212	-0.002249	0.000008
97.000000	1.579956	-0.002263	0.000008
98.000000	1.577686	-0.002277	0.000008
99.000000	1.575402	-0.002291	0.000008
100.000000	1.573105	-0.002304	0.000008
101.000000	1.570795	-0.002317	0.000008
102.000000	1.568472	-0.002329	0.000008
103.000000	1.566137	-0.002341	0.000008
104.000000	1.563790	-0.002353	0.000009
105.000000	1.561431	-0.002364	0.000009
106.000000	1.559061	-0.002376	0.000009
107.000000	1.556680	-0.002386	0.000009
108.000000	1.554289	-0.002397	0.000009
109.000000	1.551887	-0.002407	0.000009
